E2 58/2013 Novica Sarenac
file	sum
images/img-0.png	75.0
images/img-1.png	113.0
images/img-2.png	125.0
images/img-3.png	155.0
images/img-4.png	114.0
images/img-5.png	106.0
images/img-6.png	109.0
images/img-7.png	121.0
images/img-8.png	100.0
images/img-9.png	117.0
images/img-10.png	127.0
images/img-11.png	99.0
images/img-12.png	154.0
images/img-13.png	95.0
images/img-14.png	93.0
images/img-15.png	107.0
images/img-16.png	110.0
images/img-17.png	104.0
images/img-18.png	140.0
images/img-19.png	154.0
images/img-20.png	95.0
images/img-21.png	123.0
images/img-22.png	119.0
images/img-23.png	123.0
images/img-24.png	112.0
images/img-25.png	125.0
images/img-26.png	101.0
images/img-27.png	167.0
images/img-28.png	120.0
images/img-29.png	126.0
images/img-30.png	128.0
images/img-31.png	106.0
images/img-32.png	102.0
images/img-33.png	118.0
images/img-34.png	116.0
images/img-35.png	85.0
images/img-36.png	101.0
images/img-37.png	90.0
images/img-38.png	114.0
images/img-39.png	108.0
images/img-40.png	98.0
images/img-41.png	101.0
images/img-42.png	119.0
images/img-43.png	71.0
images/img-44.png	76.0
images/img-45.png	134.0
images/img-46.png	127.0
images/img-47.png	119.0
images/img-48.png	86.0
images/img-49.png	100.0
images/img-50.png	89.0
images/img-51.png	119.0
images/img-52.png	65.0
images/img-53.png	97.0
images/img-54.png	105.0
images/img-55.png	117.0
images/img-56.png	104.0
images/img-57.png	138.0
images/img-58.png	98.0
images/img-59.png	136.0
images/img-60.png	124.0
images/img-61.png	91.0
images/img-62.png	88.0
images/img-63.png	105.0
images/img-64.png	91.0
images/img-65.png	119.0
images/img-66.png	102.0
images/img-67.png	98.0
images/img-68.png	113.0
images/img-69.png	115.0
images/img-70.png	98.0
images/img-71.png	89.0
images/img-72.png	75.0
images/img-73.png	108.0
images/img-74.png	93.0
images/img-75.png	108.0
images/img-76.png	93.0
images/img-77.png	115.0
images/img-78.png	82.0
images/img-79.png	136.0
images/img-80.png	102.0
images/img-81.png	154.0
images/img-82.png	72.0
images/img-83.png	90.0
images/img-84.png	135.0
images/img-85.png	116.0
images/img-86.png	68.0
images/img-87.png	98.0
images/img-88.png	82.0
images/img-89.png	152.0
images/img-90.png	111.0
images/img-91.png	113.0
images/img-92.png	115.0
images/img-93.png	88.0
images/img-94.png	63.0
images/img-95.png	81.0
images/img-96.png	115.0
images/img-97.png	101.0
images/img-98.png	116.0
images/img-99.png	128.0
